fn	m	m3	w_c	w_a	why_c	why_a	why_pw_c	why_pw_a	because_c	because_a	because_pw_c	because_pw_a
Belfast/Barbara/020409.cha	28.3	27.0	558	5816	1	1	0.0017921146953405018	0.000171939477303989	0	20	0.0	0.0034387895460797797
Belfast/Barbara/020616.cha	30.533333333333335	30.0	1928	8578	3	12	0.0015560165975103733	0.0013989274889251574	9	33	0.00466804979253112	0.003847050594544183
Belfast/Barbara/020708.cha	31.266666666666666	30.0	1476	7098	5	6	0.0033875338753387536	0.0008453085376162299	12	14	0.008130081300813009	0.0019723865877712033
Belfast/Barbara/020912.cha	33.4	33.0	771	6950	3	9	0.0038910505836575876	0.0012949640287769784	3	28	0.0038910505836575876	0.004028776978417266
Belfast/Barbara/021028.cha	34.93333333333333	33.0	286	1381	2	5	0.006993006993006993	0.003620564808110065	5	0	0.017482517482517484	0.0
Belfast/Barbara/030219.cha	38.63333333333333	36.0	739	7404	6	6	0.008119079837618403	0.0008103727714748784	0	35	0.0	0.004727174500270125
Belfast/Barbara/030303.cha	39.1	39.0	834	3724	0	3	0.0	0.0008055853920515575	1	7	0.001199040767386091	0.0018796992481203006
Belfast/Barbara/030420.cha	40.666666666666664	39.0	609	5078	8	4	0.013136288998357963	0.0007877116975187081	3	15	0.0049261083743842365	0.0029539188656951556
Belfast/Barbara/030505.cha	41.166666666666664	39.0	505	8670	0	1	0.0	0.00011534025374855825	2	33	0.0039603960396039604	0.0038062283737024223
Belfast/Barbara/030609.cha	42.3	42.0	1511	6333	0	6	0.0	0.0009474182851729038	8	14	0.005294506949040371	0.0022106426654034425
Belfast/Barbara/030713.cha	43.43333333333333	42.0	1107	7156	1	6	0.0009033423667570009	0.0008384572386808273	5	19	0.004516711833785004	0.002655114589155953
Belfast/Barbara/030910.cha	45.333333333333336	45.0	1212	7767	4	16	0.0033003300330033004	0.002059997425003219	13	31	0.010726072607260726	0.003991245010943736
Belfast/Barbara/031105.cha	47.166666666666664	45.0	942	11389	0	3	0.0	0.0002634120642725437	0	47	0.0	0.004126789006936518
Belfast/Barbara/040118.cha	49.6	48.0	365	3890	0	0	0.0	0.0	3	13	0.00821917808219178	0.0033419023136246786
Belfast/Conor/030814.cha	44.46666666666667	42.0	286	5323	0	3	0.0	0.0005635919594213789	0	20	0.0	0.0037572797294758596
Belfast/Conor/030827.cha	44.9	42.0	1329	6419	2	5	0.0015048908954100827	0.0007789375292101573	3	13	0.002257336343115124	0.002025237575946409
Belfast/Conor/030904.cha	45.13333333333333	45.0	848	9385	1	1	0.0011792452830188679	0.00010655301012253596	1	24	0.0011792452830188679	0.002557272242940863
Belfast/Conor/031010.cha	46.333333333333336	45.0	44	7064	0	2	0.0	0.00028312570781426955	0	15	0.0	0.0021234428086070213
Belfast/Conor/031022.cha	46.733333333333334	45.0	617	6843	3	7	0.004862236628849271	0.0010229431535876078	2	17	0.0032414910858995136	0.0024842905158556187
Belfast/Conor/040010.cha	48.333333333333336	48.0	624	13862	0	8	0.0	0.0005771172990910403	2	42	0.003205128205128205	0.003029865820227961
Belfast/Conor/040024a.cha	48.8	48.0	1774	5131	6	19	0.0033821871476888386	0.0037029818748781913	23	17	0.012965050732807215	0.0033131943091015397
Belfast/Conor/040024b.cha	48.8	48.0	2693	5699	5	6	0.001856665428889714	0.001052816283558519	11	7	0.004084663943557371	0.0012282856641516056
Belfast/Conor/040121.cha	49.7	48.0	1510	13756	0	10	0.0	0.0007269555103227683	12	37	0.007947019867549669	0.0026897353881942423
Belfast/Conor/040220.cha	50.666666666666664	48.0	1890	3336	0	6	0.0	0.0017985611510791368	7	10	0.003703703703703704	0.002997601918465228
Belfast/Conor/040317.cha	51.56666666666667	51.0	1482	8547	2	5	0.001349527665317139	0.000585000585000585	2	18	0.001349527665317139	0.002106002106002106
Belfast/Conor/040415.cha	52.5	51.0	2028	10900	19	28	0.009368836291913214	0.002568807339449541	33	40	0.016272189349112426	0.003669724770642202
Belfast/Conor/040522.cha	53.733333333333334	51.0	1250	9293	0	10	0.0	0.0010760787689658882	16	16	0.0128	0.0017217260303454213
Belfast/Conor/040605.cha	54.166666666666664	54.0	1088	2415	4	3	0.003676470588235294	0.0012422360248447205	3	9	0.0027573529411764708	0.0037267080745341614
Belfast/Courtney/030400.cha	40.0	39.0	991	3412	0	0	0.0	0.0	0	13	0.0	0.0038100820633059787
Belfast/Courtney/030525.cha	41.833333333333336	39.0	1983	4852	0	9	0.0	0.0018549051937345425	2	12	0.0010085728693898135	0.00247320692497939
Belfast/Courtney/030618.cha	42.6	42.0	1672	6631	2	2	0.0011961722488038277	0.0003016136329362087	4	28	0.0023923444976076554	0.004222590861106922
Belfast/Courtney/030724.cha	43.8	42.0	1126	3070	1	4	0.0008880994671403197	0.0013029315960912053	2	7	0.0017761989342806395	0.002280130293159609
Belfast/Courtney/030904.cha	45.13333333333333	45.0	2152	7211	3	12	0.0013940520446096654	0.001664124254611011	6	23	0.0027881040892193307	0.0031895714880044376
Belfast/Courtney/031100.cha	47.0	45.0	1589	8331	1	5	0.0006293266205160479	0.0006001680470531749	0	22	0.0	0.0026407394070339695
Belfast/Courtney/040011.cha	48.36666666666667	48.0	2741	6454	1	4	0.00036483035388544326	0.0006197706848466068	10	13	0.0036483035388544327	0.002014254725751472
Belfast/David/020003.cha	24.1	24.0	175	4833	0	0	0.0	0.0	0	15	0.0	0.0031036623215394167
Belfast/David/020010.cha	24.333333333333332	24.0	677	6762	4	5	0.005908419497784343	0.0007394262052647146	2	14	0.0029542097488921715	0.002070393374741201
Belfast/David/020101.cha	25.033333333333335	24.0	582	5161	0	0	0.0	0.0	0	9	0.0	0.0017438480914551443
Belfast/David/020122.cha	25.733333333333334	24.0	483	7841	0	2	0.0	0.00025506950644050506	0	31	0.0	0.003953577349827828
Belfast/David/020219.cha	26.633333333333333	24.0	455	5427	0	3	0.0	0.000552791597567717	0	12	0.0	0.002211166390270868
Belfast/David/020721.cha	31.7	30.0	434	6770	0	1	0.0	0.00014771048744460856	0	12	0.0	0.0017725258493353029
Belfast/David/020824.cha	32.8	30.0	1299	6478	0	3	0.0	0.0004631058968817536	2	18	0.001539645881447267	0.002778635381290522
Belfast/David/030002.cha	36.06666666666667	36.0	791	6152	8	6	0.010113780025284451	0.0009752925877763329	0	20	0.0	0.003250975292587776
Belfast/David/030325.cha	39.833333333333336	39.0	956	4718	2	3	0.0020920502092050207	0.000635862653666808	3	8	0.0031380753138075313	0.001695633743111488
Belfast/David/030524.cha	41.8	39.0	93	1832	0	0	0.0	0.0	0	7	0.0	0.003820960698689956
Belfast/David/030811.cha	44.36666666666667	42.0	104	1902	0	1	0.0	0.0005257623554153522	0	7	0.0	0.003680336487907466
Belfast/David/031111.cha	47.36666666666667	45.0	1575	8996	2	9	0.0012698412698412698	0.0010004446420631393	7	31	0.0044444444444444444	0.0034459759893285904
Belfast/David/040028.cha	48.93333333333333	48.0	1382	3357	6	3	0.004341534008683068	0.0008936550491510277	6	6	0.004341534008683068	0.0017873100983020554
Belfast/David/040203.cha	50.1	48.0	1289	2327	18	4	0.013964313421256789	0.0017189514396218307	2	8	0.0015515903801396431	0.0034379028792436614
Belfast/John/030529.cha	41.96666666666667	39.0	618	3061	0	0	0.0	0.0	0	6	0.0	0.0019601437438745506
Belfast/John/030611.cha	42.36666666666667	42.0	215	630	0	0	0.0	0.0	0	1	0.0	0.0015873015873015873
Belfast/John/030730.cha	44.0	42.0	1421	5145	0	5	0.0	0.0009718172983479105	3	11	0.00211118930330753	0.002137998056365403
Belfast/John/030911.cha	45.36666666666667	45.0	1214	5318	2	23	0.0016474464579901153	0.004324934185784129	17	20	0.01400329489291598	0.00376081233546446
Belfast/John/031024.cha	46.8	45.0	1406	3914	3	1	0.0021337126600284497	0.0002554931016862545	6	4	0.004267425320056899	0.001021972406745018
Belfast/John/040012.cha	48.4	48.0	1221	3950	0	2	0.0	0.0005063291139240507	7	5	0.005733005733005733	0.0012658227848101266
Belfast/John/040401.cha	52.03333333333333	51.0	2027	6836	5	19	0.00246669955599408	0.0027794031597425397	18	21	0.008880118401578688	0.003071971913399649
Belfast/Michelle/020428.cha	28.933333333333334	27.0	276	5714	0	1	0.0	0.00017500875043752187	0	13	0.0	0.0022751137556877845
Belfast/Michelle/020720.cha	31.666666666666668	30.0	603	5445	0	1	0.0	0.00018365472910927456	1	17	0.001658374792703151	0.0031221303948576677
Belfast/Michelle/020726.cha	31.866666666666667	30.0	1104	6376	0	2	0.0	0.0003136762860727729	3	8	0.002717391304347826	0.0012547051442910915
Belfast/Michelle/021014.cha	34.46666666666667	33.0	172	7864	0	22	0.0	0.002797558494404883	1	26	0.005813953488372093	0.003306205493387589
Belfast/Michelle/021026.cha	34.86666666666667	33.0	1644	2024	6	8	0.0036496350364963502	0.003952569169960474	11	8	0.006690997566909975	0.003952569169960474
Belfast/Michelle/021104.cha	35.13333333333333	33.0	381	6945	0	2	0.0	0.00028797696184305253	0	25	0.0	0.003599712023038157
Belfast/Michelle/030127.cha	37.9	36.0	514	7383	0	4	0.0	0.0005417851821752675	0	24	0.0	0.003250711093051605
Belfast/Michelle/030325.cha	39.833333333333336	39.0	93	4857	0	1	0.0	0.00020588840848260242	0	19	0.0	0.003911879761169446
Belfast/Michelle/030621.cha	42.7	42.0	2415	4914	4	2	0.0016563146997929607	0.000407000407000407	13	14	0.005383022774327122	0.002849002849002849
Belfast/Michelle/031021.cha	46.7	45.0	408	3212	1	1	0.0024509803921568627	0.00031133250311332503	0	16	0.0	0.0049813200498132005
Belfast/Michelle/031022.cha	46.733333333333334	45.0	885	4735	4	5	0.004519774011299435	0.0010559662090813093	4	12	0.004519774011299435	0.0025343189017951427
Belfast/Michelle/031110.cha	47.333333333333336	45.0	2307	8468	7	5	0.003034243606415258	0.0005904581955597543	6	21	0.002600780234070221	0.0024799244213509685
Belfast/Michelle/040225.cha	50.833333333333336	48.0	4535	8958	0	3	0.0	0.0003348961821835231	31	24	0.006835722160970232	0.0026791694574681848
Belfast/Michelle/040419.cha	52.63333333333333	51.0	2712	7398	0	2	0.0	0.0002703433360367667	8	11	0.0029498525073746312	0.0014868883482022169
Belfast/Rachel/020525.cha	29.833333333333332	27.0	214	4176	2	4	0.009345794392523364	0.0009578544061302681	0	18	0.0	0.004310344827586207
Belfast/Rachel/020610.cha	30.333333333333332	30.0	95	3265	0	2	0.0	0.0006125574272588055	0	8	0.0	0.002450229709035222
Belfast/Rachel/020727.cha	31.9	30.0	710	4622	2	2	0.0028169014084507044	0.00043271311120726956	0	16	0.0	0.0034617048896581565
Belfast/Rachel/020830.cha	33.0	33.0	1338	5805	0	5	0.0	0.0008613264427217916	5	19	0.0037369207772795215	0.003273040482342808
Belfast/Rachel/020902.cha	33.06666666666667	33.0	1929	3345	2	5	0.0010368066355624676	0.0014947683109118087	8	6	0.00414722654224987	0.0017937219730941704
Belfast/Rachel/020916.cha	33.53333333333333	33.0	429	746	0	2	0.0	0.002680965147453083	2	0	0.004662004662004662	0.0
Belfast/Rachel/021100.cha	35.0	33.0	1440	6306	0	7	0.0	0.0011100539169045353	2	10	0.001388888888888889	0.001585791309863622
Belfast/Rachel/030203.cha	38.1	36.0	647	7525	0	2	0.0	0.00026578073089701	3	40	0.00463678516228748	0.0053156146179402
Belfast/Stuart/030512.cha	41.4	39.0	349	2939	0	1	0.0	0.0003402517863218782	0	11	0.0	0.00374276964954066
Belfast/Stuart/030624.cha	42.8	42.0	776	3951	0	1	0.0	0.0002531004808909137	2	11	0.002577319587628866	0.0027841052898000505
Belfast/Stuart/030720.cha	43.666666666666664	42.0	1388	3833	0	3	0.0	0.0007826767545003914	8	8	0.005763688760806916	0.0020871380120010435
Belfast/Stuart/030826.cha	44.86666666666667	42.0	4192	4324	4	4	0.0009541984732824427	0.0009250693802035153	5	2	0.0011927480916030535	0.00046253469010175765
Belfast/Stuart/031002.cha	46.06666666666667	45.0	1499	6854	1	4	0.00066711140760507	0.0005836008170411438	4	12	0.00266844563042028	0.0017508024511234317
Belfast/Stuart/031014.cha	46.46666666666667	45.0	3003	7547	1	6	0.000333000333000333	0.0007950178879024779	9	10	0.002997002997002997	0.0013250298131707962
Belfast/Stuart/031016.cha	46.53333333333333	45.0	1975	3082	5	6	0.002531645569620253	0.001946787800129786	3	2	0.0015189873417721519	0.0006489292667099286
Belfast/Stuart/040106.cha	49.2	48.0	1000	3997	2	13	0.002	0.003252439329497123	10	5	0.01	0.0012509382036527395
Belfast/Stuart/040401.cha	52.03333333333333	51.0	1120	1371	0	4	0.0	0.0029175784099197666	3	3	0.0026785714285714286	0.002188183807439825
Belfast/Stuart/040404.cha	52.13333333333333	51.0	3145	3267	7	13	0.0022257551669316376	0.003979185797367615	17	4	0.005405405405405406	0.001224364860728497
Belfast/Stuart/040504.cha	53.13333333333333	51.0	1598	2806	4	12	0.0025031289111389237	0.0042765502494654314	3	5	0.0018773466833541927	0.001781895937277263
