fn	m	m3	w_c	w_a	why_c	why_a	why_pw_c	why_pw_a	because_c	because_a	because_pw_c	because_pw_a
Lara/010913.cha	21.433333333333334	21.0	1001	4079	0	2	0.0	0.0004903162539838195	0	4	0.0	0.000980632507967639
Lara/011007.cha	22.233333333333334	21.0	1288	3859	0	4	0.0	0.0010365379632029023	0	5	0.0	0.001295672454003628
Lara/011018.cha	22.6	21.0	1251	2692	0	3	0.0	0.001114413075780089	0	2	0.0	0.0007429420505200594
Lara/011104.cha	23.133333333333333	21.0	1350	3944	0	1	0.0	0.0002535496957403651	0	10	0.0	0.002535496957403651
Lara/011105.cha	23.166666666666668	21.0	1018	2182	0	4	0.0	0.0018331805682859762	0	3	0.0	0.001374885426214482
Lara/011109.cha	23.3	21.0	1561	4640	0	6	0.0	0.001293103448275862	0	14	0.0	0.003017241379310345
Lara/011126.cha	23.866666666666667	21.0	746	2372	0	0	0.0	0.0	0	5	0.0	0.0021079258010118043
Lara/011127.cha	23.9	21.0	599	2277	0	4	0.0	0.001756697408871322	0	5	0.0	0.0021958717610891525
Lara/020002.cha	24.066666666666666	24.0	462	1785	0	1	0.0	0.0005602240896358543	0	1	0.0	0.0005602240896358543
Lara/020008.cha	24.266666666666666	24.0	477	2955	0	2	0.0	0.0006768189509306261	0	11	0.0	0.003722504230118443
Lara/020017.cha	24.566666666666666	24.0	913	3152	0	2	0.0	0.0006345177664974619	0	6	0.0	0.0019035532994923859
Lara/020019.cha	24.633333333333333	24.0	533	2375	0	1	0.0	0.0004210526315789474	0	6	0.0	0.0025263157894736842
Lara/020110.cha	25.333333333333332	24.0	531	1906	0	1	0.0	0.0005246589716684155	0	4	0.0	0.002098635886673662
Lara/020111.cha	25.366666666666667	24.0	790	2125	0	7	0.0	0.0032941176470588237	0	5	0.0	0.002352941176470588
Lara/020116.cha	25.533333333333335	24.0	504	2435	0	1	0.0	0.0004106776180698152	0	6	0.0	0.0024640657084188913
Lara/020119.cha	25.633333333333333	24.0	1015	2501	0	1	0.0	0.00039984006397441024	0	8	0.0	0.003198720511795282
Lara/020121.cha	25.7	24.0	772	2141	0	1	0.0	0.00046707146193367583	0	5	0.0	0.002335357309668379
Lara/020125.cha	25.833333333333332	24.0	1702	4625	0	5	0.0	0.001081081081081081	0	10	0.0	0.002162162162162162
Lara/020203.cha	26.1	24.0	992	2153	0	1	0.0	0.00046446818392940084	1	2	0.0010080645161290322	0.0009289363678588017
Lara/020204.cha	26.133333333333333	24.0	1145	2428	0	2	0.0	0.0008237232289950577	0	5	0.0	0.002059308072487644
Lara/020205.cha	26.166666666666668	24.0	1568	3606	0	6	0.0	0.0016638935108153079	0	11	0.0	0.003050471436494731
Lara/020214.cha	26.466666666666665	24.0	706	2092	0	4	0.0	0.0019120458891013384	0	6	0.0	0.0028680688336520078
Lara/020217.cha	26.566666666666666	24.0	645	2517	0	4	0.0	0.0015891934843067143	0	4	0.0	0.0015891934843067143
Lara/020218.cha	26.6	24.0	774	2197	1	2	0.0012919896640826874	0.0009103322712790169	0	1	0.0	0.0004551661356395084
Lara/020221.cha	26.7	24.0	835	3211	0	2	0.0	0.0006228589224540642	0	6	0.0	0.0018685767673621925
Lara/020316.cha	27.533333333333335	27.0	351	924	0	2	0.0	0.0021645021645021645	0	7	0.0	0.007575757575757576
Lara/020323.cha	27.766666666666666	27.0	1656	3990	0	2	0.0	0.0005012531328320802	2	4	0.0012077294685990338	0.0010025062656641604
Lara/020416.cha	28.533333333333335	27.0	661	1994	0	0	0.0	0.0	0	4	0.0	0.0020060180541624875
Lara/020418.cha	28.6	27.0	515	1437	0	1	0.0	0.0006958942240779402	0	3	0.0	0.0020876826722338203
Lara/020508.cha	29.266666666666666	27.0	515	1584	0	0	0.0	0.0	0	1	0.0	0.0006313131313131314
Lara/020510.cha	29.333333333333332	27.0	375	1258	0	1	0.0	0.000794912559618442	1	5	0.0026666666666666666	0.00397456279809221
Lara/020525.cha	29.833333333333332	27.0	629	1291	0	3	0.0	0.0023237800154918666	2	4	0.003179650238473768	0.003098373353989156
Lara/020600.cha	30.0	30.0	553	1762	0	1	0.0	0.0005675368898978433	0	2	0.0	0.0011350737797956867
