fn	m	m3	w_c	w_a	why_c	why_a	because_c	because_a
Thomas/020012.cha	24.4	24.0	1277	5766	0	0	0	15
Thomas/020013.cha	24.433333333333334	24.0	1175	4691	0	1	0	13
Thomas/020016.cha	24.533333333333335	24.0	1123	4540	0	3	0	5
Thomas/020018.cha	24.6	24.0	823	2856	0	1	0	11
Thomas/020019.cha	24.633333333333333	24.0	845	5112	0	0	0	13
Thomas/020020.cha	24.666666666666668	24.0	1737	6100	0	1	0	9
Thomas/020023.cha	24.766666666666666	24.0	1952	5320	0	2	0	13
Thomas/020024.cha	24.8	24.0	34	88	0	0	0	1
Thomas/020025.cha	24.833333333333332	24.0	324	813	0	0	0	1
Thomas/020026.cha	24.866666666666667	24.0	1091	5164	0	1	0	9
Thomas/020027.cha	24.9	24.0	1499	5894	0	0	0	15
Thomas/020100.cha	25.0	24.0	1015	3206	0	0	0	5
Thomas/020103.cha	25.1	24.0	1034	4733	0	1	0	13
Thomas/020104.cha	25.133333333333333	24.0	1747	5867	0	1	0	15
Thomas/020105.cha	25.166666666666668	24.0	1121	5778	0	5	0	9
Thomas/020106.cha	25.2	24.0	1010	5831	0	2	0	23
Thomas/020107.cha	25.233333333333334	24.0	1658	4720	0	4	0	10
Thomas/020108.cha	25.266666666666666	24.0	1538	5455	0	3	0	21
Thomas/020109.cha	25.3	24.0	1170	4450	0	1	0	17
Thomas/020110.cha	25.333333333333332	24.0	1163	5454	0	0	0	13
Thomas/020111.cha	25.366666666666667	24.0	1194	7236	0	0	0	33
Thomas/020114.cha	25.466666666666665	24.0	1109	3830	0	2	0	13
Thomas/020115.cha	25.5	24.0	1288	5942	0	11	0	19
Thomas/020116.cha	25.533333333333335	24.0	1193	6008	0	6	0	20
Thomas/020117.cha	25.566666666666666	24.0	1203	5315	0	3	0	18
Thomas/020118.cha	25.6	24.0	1184	7364	0	2	0	25
Thomas/020121.cha	25.7	24.0	1552	7256	0	3	0	24
Thomas/020122.cha	25.733333333333334	24.0	1653	7137	0	2	0	20
Thomas/020123.cha	25.766666666666666	24.0	1315	5860	0	1	0	15
Thomas/020124.cha	25.8	24.0	1103	4429	0	7	0	15
Thomas/020125.cha	25.833333333333332	24.0	1140	5696	0	4	0	17
Thomas/020128.cha	25.933333333333334	24.0	1424	6498	0	0	0	19
Thomas/020129.cha	25.966666666666665	24.0	740	4633	0	6	0	20
Thomas/020130.cha	26.0	24.0	1194	5275	0	4	0	19
Thomas/020200.cha	26.0	24.0	1177	4946	0	2	0	12
Thomas/020201.cha	26.033333333333335	24.0	622	5448	0	4	0	35
Thomas/020204.cha	26.133333333333333	24.0	1400	6242	0	4	0	31
Thomas/020205.cha	26.166666666666668	24.0	997	6711	0	10	0	27
