fn	m	m3	w_c	w_a	why_c	why_a	why_pw_c	why_pw_a	because_c	because_a	because_pw_c	because_pw_a
Wells/Abigail/010528.cha	17.933333333333334	15.0	139	957	0	2	0.0	0.0020898641588296763	0	3	0.0	0.003134796238244514
Wells/Abigail/010827.cha	20.9	18.0	208	688	0	0	0.0	0.0	0	1	0.0	0.0014534883720930232
Wells/Abigail/020001.cha	24.033333333333335	24.0	318	1188	0	0	0.0	0.0	0	2	0.0	0.0016835016835016834
Wells/Abigail/020300.cha	27.0	27.0	557	1019	0	0	0.0	0.0	0	3	0.0	0.002944062806673209
Wells/Abigail/020602.cha	30.066666666666666	30.0	485	1856	0	2	0.0	0.0010775862068965517	0	6	0.0	0.003232758620689655
Wells/Abigail/020903.cha	33.1	33.0	499	1139	0	2	0.0	0.001755926251097454	0	2	0.0	0.001755926251097454
Wells/Abigail/030002.cha	36.06666666666667	36.0	310	1444	1	1	0.0032258064516129032	0.0006925207756232687	1	6	0.0032258064516129032	0.004155124653739612
Wells/Abigail/030300.cha	39.0	39.0	572	1635	0	3	0.0	0.001834862385321101	0	8	0.0	0.004892966360856269
Wells/Abigail/030606.cha	42.2	42.0	630	1440	6	0	0.009523809523809525	0.0	0	3	0.0	0.0020833333333333333
Wells/Abigail/040800.cha	56.0	54.0	961	1384	0	1	0.0	0.000722543352601156	1	2	0.001040582726326743	0.001445086705202312
Wells/Benjamin/010521.cha	17.7	15.0	389	1644	0	0	0.0	0.0	0	2	0.0	0.0012165450121654502
Wells/Benjamin/010827.cha	20.9	18.0	428	1055	0	3	0.0	0.002843601895734597	0	2	0.0	0.0018957345971563982
Wells/Benjamin/011130.cha	24.0	24.0	471	1671	0	3	0.0	0.0017953321364452424	1	1	0.0021231422505307855	0.0005984440454817474
Wells/Benjamin/020303.cha	27.1	27.0	454	929	0	0	0.0	0.0	0	2	0.0	0.002152852529601722
Wells/Benjamin/020528.cha	29.933333333333334	27.0	656	1393	2	2	0.003048780487804878	0.0014357501794687725	0	4	0.0	0.002871500358937545
Wells/Benjamin/020901.cha	33.03333333333333	33.0	596	1087	0	2	0.0	0.0018399264029438822	0	3	0.0	0.0027598896044158236
Wells/Benjamin/021129.cha	35.96666666666667	33.0	652	638	3	1	0.004601226993865031	0.001567398119122257	0	1	0.0	0.001567398119122257
Wells/Benjamin/030229.cha	38.96666666666667	36.0	725	1088	0	0	0.0	0.0	1	1	0.001379310344827586	0.0009191176470588235
Wells/Benjamin/030603.cha	42.1	42.0	401	891	1	0	0.0024937655860349127	0.0	1	6	0.0024937655860349127	0.006734006734006734
Wells/Benjamin/050024.cha	60.8	60.0	697	1087	4	1	0.005738880918220947	0.0009199632014719411	2	2	0.0028694404591104736	0.0018399264029438822
Wells/Betty/010603.cha	18.1	18.0	370	417	0	0	0.0	0.0	0	1	0.0	0.002398081534772182
Wells/Betty/010904.cha	21.133333333333333	21.0	636	837	0	0	0.0	0.0	0	5	0.0	0.005973715651135006
Wells/Betty/020003.cha	24.1	24.0	509	676	0	0	0.0	0.0	0	1	0.0	0.0014792899408284023
Wells/Betty/020302.cha	27.066666666666666	27.0	812	1364	0	1	0.0	0.0007331378299120235	0	6	0.0	0.004398826979472141
Wells/Betty/020528.cha	29.933333333333334	27.0	840	771	0	0	0.0	0.0	0	0	0.0	0.0
Wells/Betty/020827.cha	32.9	30.0	922	598	1	2	0.0010845986984815619	0.0033444816053511705	0	4	0.0	0.006688963210702341
Wells/Betty/030009.cha	36.3	36.0	653	247	0	0	0.0	0.0	0	2	0.0	0.008097165991902834
Wells/Betty/030302.cha	39.06666666666667	39.0	981	335	2	0	0.0020387359836901123	0.0	5	0	0.0050968399592252805	0.0
Wells/Betty/041102.cha	59.06666666666667	57.0	1136	922	2	0	0.0017605633802816902	0.0	1	1	0.0008802816901408451	0.0010845986984815619
