fn	m	m3	w_c	w_a	why_c	why_a	why_pw_c	why_pw_a	because_c	because_a	because_pw_c	because_pw_a
Belfast/Barbara/020409.cha	28.3	27.0	558	5816	1	1	0.0017921146953405018	0.000171939477303989	0	20	0.0	0.0034387895460797797
Belfast/Barbara/020616.cha	30.533333333333335	30.0	1928	8578	3	12	0.0015560165975103733	0.0013989274889251574	9	33	0.00466804979253112	0.003847050594544183
Belfast/Barbara/020708.cha	31.266666666666666	30.0	1476	7098	5	6	0.0033875338753387536	0.0008453085376162299	12	14	0.008130081300813009	0.0019723865877712033
Belfast/Barbara/020912.cha	33.4	33.0	771	6950	3	9	0.0038910505836575876	0.0012949640287769784	3	28	0.0038910505836575876	0.004028776978417266
Belfast/Barbara/021028.cha	34.93333333333333	33.0	286	1381	2	5	0.006993006993006993	0.003620564808110065	5	0	0.017482517482517484	0.0
Belfast/Barbara/030219.cha	38.63333333333333	36.0	739	7404	6	6	0.008119079837618403	0.0008103727714748784	0	35	0.0	0.004727174500270125
Belfast/Barbara/030303.cha	39.1	39.0	834	3724	0	3	0.0	0.0008055853920515575	1	7	0.001199040767386091	0.0018796992481203006
Belfast/Barbara/030420.cha	40.666666666666664	39.0	609	5078	8	4	0.013136288998357963	0.0007877116975187081	3	15	0.0049261083743842365	0.0029539188656951556
Belfast/Barbara/030505.cha	41.166666666666664	39.0	505	8670	0	1	0.0	0.00011534025374855825	2	33	0.0039603960396039604	0.0038062283737024223
Belfast/Barbara/030609.cha	42.3	42.0	1511	6333	0	6	0.0	0.0009474182851729038	8	14	0.005294506949040371	0.0022106426654034425
Belfast/Barbara/030713.cha	43.43333333333333	42.0	1107	7156	1	6	0.0009033423667570009	0.0008384572386808273	5	19	0.004516711833785004	0.002655114589155953
Belfast/Barbara/030910.cha	45.333333333333336	45.0	1212	7767	4	16	0.0033003300330033004	0.002059997425003219	13	31	0.010726072607260726	0.003991245010943736
Belfast/Barbara/031105.cha	47.166666666666664	45.0	942	11389	0	3	0.0	0.0002634120642725437	0	47	0.0	0.004126789006936518
Belfast/Barbara/040118.cha	49.6	48.0	365	3890	0	0	0.0	0.0	3	13	0.00821917808219178	0.0033419023136246786
