fn	m	m3	w_c	w_a	why_c	why_a	why_pw_c	why_pw_a	because_c	because_a	because_pw_c	because_pw_a
Belfast/Conor/030814.cha	44.46666666666667	42.0	286	5323	0	3	0.0	0.0005635919594213789	0	20	0.0	0.0037572797294758596
Belfast/Conor/030827.cha	44.9	42.0	1329	6419	2	5	0.0015048908954100827	0.0007789375292101573	3	13	0.002257336343115124	0.002025237575946409
Belfast/Conor/030904.cha	45.13333333333333	45.0	848	9385	1	1	0.0011792452830188679	0.00010655301012253596	1	24	0.0011792452830188679	0.002557272242940863
Belfast/Conor/031010.cha	46.333333333333336	45.0	44	7064	0	2	0.0	0.00028312570781426955	0	15	0.0	0.0021234428086070213
Belfast/Conor/031022.cha	46.733333333333334	45.0	617	6843	3	7	0.004862236628849271	0.0010229431535876078	2	17	0.0032414910858995136	0.0024842905158556187
Belfast/Conor/040010.cha	48.333333333333336	48.0	624	13862	0	8	0.0	0.0005771172990910403	2	42	0.003205128205128205	0.003029865820227961
Belfast/Conor/040024a.cha	48.8	48.0	1774	5131	6	19	0.0033821871476888386	0.0037029818748781913	23	17	0.012965050732807215	0.0033131943091015397
Belfast/Conor/040024b.cha	48.8	48.0	2693	5699	5	6	0.001856665428889714	0.001052816283558519	11	7	0.004084663943557371	0.0012282856641516056
Belfast/Conor/040121.cha	49.7	48.0	1510	13756	0	10	0.0	0.0007269555103227683	12	37	0.007947019867549669	0.0026897353881942423
Belfast/Conor/040220.cha	50.666666666666664	48.0	1890	3336	0	6	0.0	0.0017985611510791368	7	10	0.003703703703703704	0.002997601918465228
Belfast/Conor/040317.cha	51.56666666666667	51.0	1482	8547	2	5	0.001349527665317139	0.000585000585000585	2	18	0.001349527665317139	0.002106002106002106
Belfast/Conor/040415.cha	52.5	51.0	2028	10900	19	28	0.009368836291913214	0.002568807339449541	33	40	0.016272189349112426	0.003669724770642202
Belfast/Conor/040522.cha	53.733333333333334	51.0	1250	9293	0	10	0.0	0.0010760787689658882	16	16	0.0128	0.0017217260303454213
Belfast/Conor/040605.cha	54.166666666666664	54.0	1088	2415	4	3	0.003676470588235294	0.0012422360248447205	3	9	0.0027573529411764708	0.0037267080745341614
