fn	m	m3	w_c	w_a	why_c	why_a	why_pw_c	why_pw_a	because_c	because_a	because_pw_c	because_pw_a
Belfast/Michelle/020428.cha	28.933333333333334	27.0	276	5714	0	1	0.0	0.00017500875043752187	0	13	0.0	0.0022751137556877845
Belfast/Michelle/020720.cha	31.666666666666668	30.0	603	5445	0	1	0.0	0.00018365472910927456	1	17	0.001658374792703151	0.0031221303948576677
Belfast/Michelle/020726.cha	31.866666666666667	30.0	1104	6376	0	2	0.0	0.0003136762860727729	3	8	0.002717391304347826	0.0012547051442910915
Belfast/Michelle/021014.cha	34.46666666666667	33.0	172	7864	0	22	0.0	0.002797558494404883	1	26	0.005813953488372093	0.003306205493387589
Belfast/Michelle/021026.cha	34.86666666666667	33.0	1644	2024	6	8	0.0036496350364963502	0.003952569169960474	11	8	0.006690997566909975	0.003952569169960474
Belfast/Michelle/021104.cha	35.13333333333333	33.0	381	6945	0	2	0.0	0.00028797696184305253	0	25	0.0	0.003599712023038157
Belfast/Michelle/030127.cha	37.9	36.0	514	7383	0	4	0.0	0.0005417851821752675	0	24	0.0	0.003250711093051605
Belfast/Michelle/030325.cha	39.833333333333336	39.0	93	4857	0	1	0.0	0.00020588840848260242	0	19	0.0	0.003911879761169446
Belfast/Michelle/030621.cha	42.7	42.0	2415	4914	4	2	0.0016563146997929607	0.000407000407000407	13	14	0.005383022774327122	0.002849002849002849
Belfast/Michelle/031021.cha	46.7	45.0	408	3212	1	1	0.0024509803921568627	0.00031133250311332503	0	16	0.0	0.0049813200498132005
Belfast/Michelle/031022.cha	46.733333333333334	45.0	885	4735	4	5	0.004519774011299435	0.0010559662090813093	4	12	0.004519774011299435	0.0025343189017951427
Belfast/Michelle/031110.cha	47.333333333333336	45.0	2307	8468	7	5	0.003034243606415258	0.0005904581955597543	6	21	0.002600780234070221	0.0024799244213509685
Belfast/Michelle/040225.cha	50.833333333333336	48.0	4535	8958	0	3	0.0	0.0003348961821835231	31	24	0.006835722160970232	0.0026791694574681848
Belfast/Michelle/040419.cha	52.63333333333333	51.0	2712	7398	0	2	0.0	0.0002703433360367667	8	11	0.0029498525073746312	0.0014868883482022169
