fn	m	m3	w_c	w_a	why_c	why_a	why_pw_c	why_pw_a	because_c	because_a	because_pw_c	because_pw_a
Belfast/Stuart/030512.cha	41.4	39.0	349	2939	0	1	0.0	0.0003402517863218782	0	11	0.0	0.00374276964954066
Belfast/Stuart/030624.cha	42.8	42.0	776	3951	0	1	0.0	0.0002531004808909137	2	11	0.002577319587628866	0.0027841052898000505
Belfast/Stuart/030720.cha	43.666666666666664	42.0	1388	3833	0	3	0.0	0.0007826767545003914	8	8	0.005763688760806916	0.0020871380120010435
Belfast/Stuart/030826.cha	44.86666666666667	42.0	4192	4324	4	4	0.0009541984732824427	0.0009250693802035153	5	2	0.0011927480916030535	0.00046253469010175765
Belfast/Stuart/031002.cha	46.06666666666667	45.0	1499	6854	1	4	0.00066711140760507	0.0005836008170411438	4	12	0.00266844563042028	0.0017508024511234317
Belfast/Stuart/031014.cha	46.46666666666667	45.0	3003	7547	1	6	0.000333000333000333	0.0007950178879024779	9	10	0.002997002997002997	0.0013250298131707962
Belfast/Stuart/031016.cha	46.53333333333333	45.0	1975	3082	5	6	0.002531645569620253	0.001946787800129786	3	2	0.0015189873417721519	0.0006489292667099286
Belfast/Stuart/040106.cha	49.2	48.0	1000	3997	2	13	0.002	0.003252439329497123	10	5	0.01	0.0012509382036527395
Belfast/Stuart/040401.cha	52.03333333333333	51.0	1120	1371	0	4	0.0	0.0029175784099197666	3	3	0.0026785714285714286	0.002188183807439825
Belfast/Stuart/040404.cha	52.13333333333333	51.0	3145	3267	7	13	0.0022257551669316376	0.003979185797367615	17	4	0.005405405405405406	0.001224364860728497
Belfast/Stuart/040504.cha	53.13333333333333	51.0	1598	2806	4	12	0.0025031289111389237	0.0042765502494654314	3	5	0.0018773466833541927	0.001781895937277263
